WORD,ANG. SPEL.,MEANING,KIND,FOREBEAR,FROM,NOTES,TAGS
hode,,᛫ to ordain ᛫ to consecrate ᛫,V,hōden[hādian],ME,,
hoder,,᛫ clear ᛫ serene ᛫,AJ,hādor,OE,kin: heiðr (Icelandic),
hoff,,᛫ a house ᛫ a palace ᛫ a court ᛫,N,hof,OE,kin: hovel,
hogger,,᛫ a swineherd ᛫,N,~,NE,,
hogreeve,hoggreefe,᛫ an official charged with preventing or appraising damage done by stray swine ᛫,N,~,NE,,
hogsfennel,hoggsfennel,᛫ a Peucedanum officinale plant ᛫,N,hog's fennel,NE,,
hogshead,hoggshead,"᛫ a large barrel ᛫ a large cask ᛫ a unit of volume ( 52.5 imperial gallons for wine , 54 imperial gallons for beer ) ᛫",N,~,NE,,
hogwash,hoggƿasc,᛫ nonsense ᛫,N,~,NE,,
hold,,᛫ graciously ᛫ kindly ᛫ faithfully ᛫,AJ,holde[holde],ME,,
hold,,᛫ inclined ( literal and figurative ) ᛫,AJ,heald,OE,,
holdall,,᛫ a carryall ᛫ an encyclopaedia ᛫,N,~,NE,,
holdend,,᛫ a keeper ( as in a guardian ) ᛫,N,healdend,OE,,
holder,,᛫ a container ᛫ a possessor ᛫,N,~,NE,,
holding,,᛫ asset ᛫,N,~,NE,,
holdship,holdscip,᛫ loyalty ᛫ fealty ᛫ allegiance ᛫,N,holdscipe,OE,,
hole,,᛫ to obtain ᛫,V,hōlen&geholian,ME&OE,,
holet,,᛫ to greet ᛫ to salute ᛫,V,hālettan,OE,,
holey,holig,᛫ porous ᛫ spongy ᛫ spongiform ᛫,AJ,~,NE,[OED],
holibone,,᛫ a sacrum ᛫,N,holybone,NE,,
holiday,holigdag,᛫ vacation ᛫,N,~,NE,,
Holimonth,Holimonð,᛫ September ᛫,N(P),haligmonaþ,OE,or: Harvestmonth,
holiness,,᛫ sanctity ᛫,N,~,NE,,
holirope,,᛫ Eupatorium cannabinum ( hemp-agrimony ) ᛫,N,~,ANE,,
Holiwere,Holiƿere,᛫ Saint Cuthbert of Lindisfarne ᛫,N(P),Hālīwer,ME,rhyme: hall-a-ware,
holk,,᛫ a hollow ᛫ a cavity ᛭ to dig up ᛫ to excavate ᛫ to hollow out ᛫,N᛭V,holk[holc]&holken,ME&ME,,
hollow,holloƿ,᛫ a cavity ᛫ a hole ᛫ a small valley ᛭ to make or become hollow ᛭ concave ᛫ sunken ᛫ insincere ᛫,N᛭V᛭AJ,~,NE,,
holm,,᛫ an islet ( esp one in a river ) ᛫,N,~,NE‹N,,
holm,,᛫ a sea ᛫ an ocean ᛫ a lake ᛫,N,holm,OE,"modern ""holm"" is from Norse",
holt,,᛫ a copse ( a small forest ) ᛫ a forested hill ᛫,N,~,NE,,
holy,holig,᛫ sacred ᛫,AJ,~,NE,,
Holy Father,Holig Faðer,᛫ the Pope ᛫,N,~,NE,,
holy fire,holig,᛫ erisypelas ᛫ St. Anthony's fire ᛫,N,~,ANE,[OED],
home in,,᛫ to focus on ᛫ to track ᛫ to get closer to that which is being chased ᛫,V,~,NE,,
homefear,,᛫ oikophobia ᛫ ecophobia ᛫,N,home+fear,NE×2,,
homeheast,,᛫ domestic violence ᛫,N,home+heast,NE+OE,,
homely,homelig,᛫ domestic ᛫ not elaborate or complex ᛫ plain or unattractive in appearance ᛫,AJ,~,NE,,
homespun,,᛫ homely ᛫ unsophisticated ᛫,AJ,~,NE,,
homeware,homeƿare,᛫ furniture utensils and decorative objects for domestic use ᛫,N,~,NE,,
homewares,homeƿares,᛫ furnishings for the home such as furniture ᛫,N,~,NE,,
hone,,᛫ delay ᛫ hesitation ᛫,N,hōne,ME‹C,"morphed into ""wone"" in some dialects",
hone,,᛫ a sharpening stone ᛭ to sharpen ᛫ to refine or to master a skill ᛫ to make more effective ᛫,N᛭V,~,NE,,
honeybear,hunnigbear,᛫ a kinkajou ᛫,N,honey bear,NE,,
honeywort,hunnigƿurt,᛫ a Galium cruciatum plant ᛫,N,~,NE,,
hoo,,᛫ she ᛫,N(PRO),~[heo],NE,found in West Yorkshire and Lancashire,
hoodwink,hoodƿink,᛫ to trick ᛫ to deceive ᛫,V,~,NE,,
hoof,,᛫ the covering that encloses the feet of ungulate mammals ᛭ to dance ᛫,N᛭V,~,NE,[MW],
hoofdeer,,᛫ an ungulate ᛫ an animal of the clade Ungulata ᛫,N,hoof+deer,NE×2,"calque: hoefdier, Huftier",
hookbone,,᛫ a hamate bone ᛫,N,hook+bone,NE×2,calque: haakvormig been; Hakenbein,
hooker,,᛫ a feeling of offence ᛫ mockery ᛫ scorn ᛫ derision ᛫ abusive talk ᛫,N,hōker[hōcer],ME,,
hooks,,᛫ parentheses ( ( ) ) ᛫ brackets ( [ ] ) ᛫ braces ( { } ) ᛫ chevrons ( ⟨ ⟩ ) ᛫,N,~,ANE,[OED],
hooky,hookig,᛫ catchy ᛫ easily recalled ᛫,AJ,~,NE,,
hool,,᛫ vain speech ᛫ slander ᛫ calumny ᛭ to speak evil of ᛫ to slander ᛫ to calumniate ᛫,N᛭V,hōl&hōlian,OE,,
hoose,,᛫ an escort ᛫ a company ᛫ a troop ᛫ a band ᛫ a party ᛫,N,hōs,OE,,
hopelessness,,᛫ despair ᛫,N,~,NE,,
hophead,,᛫ a drug addict ᛫,N,~,NE,,
hopper,,᛫ a seed basket used by a sower ᛫,N,hopper,ME,,
hore,,᛫ filth ᛫ dirt ᛫ mud ᛫ slime ᛫ muck ᛫ crud ᛫,N,hore[horh],ME,,
hore,,᛫ to defile ᛫ to defoul ᛫ to pollute ᛫ to corrupt ᛫ to become corrupt ᛫,V,hō̆rien,ME,,
horehound,horehund,᛫ a Marrubium vulgare plant ᛫,N,~[horhoune][hārhūne],NE,"sometimes called ""white horehound""",
horewort,horeƿurt,᛫ a Filago germanica plant ? ᛫,N,hōrwort,ME,,
horn,,᛫ a telephone (slang) ᛫,N,~,NE,"especially in the saying ""on the horn""",
hornen,,᛫ made of horn ᛫,AJ,hornen,ME,,
horning,,᛫ fornication ᛫,N,hornung,OE,,
horningson,horningsun,᛫ a bastard son ᛫,N,hornungsunu,OE,kin: Hornung (German),
hornkin,,᛫ a Hörnchen ᛫ a croissant ᛫ a kifli ᛫ a kipfel ᛫,N,horn+kin,NE×2,calque: Hörnchen,
hornnose,,᛫ a rhinoceros ᛫,N,horne nose,NE,,
horny,hornig,᛫ sexually aroused ᛫,AJ,~,NE,,
horrow,horroƿ,᛫ foul ᛫ dirty ᛫ filthy ᛫ slanderous ᛫,AJ,horrow,ANE,earlier: hory,
horse,hors,᛫ a horse ( esp a male horse ) ᛫ a stallion ᛫,N,~,NE,"see: mare ᛫ male connotation retored as ""stallion"" may have dampened it",
horsed,,᛫ mounted ( on horseback ) ᛫,N,~,NE,[OED],
horsefeathers,horsfeaðers,᛫ nonsense ᛫ balderdash ᛫,N,~,NE,,
horseflesh,horsflesc,᛫ chevaline ᛫,N,~,NE,[OED],
horseheal,horsheal,᛫ an Inula helenium plant ( elecampane ) ᛫,N,horseheale,ANE,[OED],
horseleech,horsleec,᛫ a horse doctor ᛫ a farrier ᛫,N,~,ANE,[OED],
horsely,horselig,᛫ equine ᛫ caballine ᛫ chevaline ᛫,AJ,~[horsli],ANE,[OED],
horseman,horsman,᛫ an equestrian ᛫,N,~,NE,,
horsemanship,horsmanscip,᛫ equestrianism ᛫ equitation ᛫,N,~,NE,[OED],
horsemen,horsmen,᛫ cavalry ᛫,N,~,NE,[OED],
horseracer,horsraser,᛫ a jockey ᛫,N,horse-racer,NE,[OED] ᛫ non-norse: horsereaser,
horsern,horsern,᛫ a stable ᛫,N,horsern,OE,,
horsethane,horsþane,᛫ an officer in charge of horses ᛫ a marshal ( in the old sense of a horse officer ) ᛫,N,horsþegn ,OE,,
horsewhale,horshƿale,᛫ walrus ᛫,N,horshwæl,OE,"""walrus"" is Norse",
horsh,horsc,᛫ quick-witted ᛫ mentally sharp ᛫,AJ,horsc,OE,,
hose,,᛫ a legging ᛫,N,hose&hōse,NE&ME,see: hosen,
hosen,,᛫ pants ᛫ trousers ᛫ stockings ᛫ greaves,N,hosen&hōse,NE&ME,or: hoses,
hote,,᛫ to designate ᛫ to name ᛫ to be designated ᛫ to be named ᛫,V,hōten,ME,PST: hight; hoted; hote ᛫ PTCP: hight; hoten; hote,
hough,huge,᛫ a promontory ᛫,N,hough[hōh],ME,rhyme: plough,
hound,hund,᛫ a canine ᛫,N,~,NE,,
houndberry,hundberrig,᛫ a Solanum nigrum berry ( a European black nightshade berry ) ᛫,N,hǒundberī[hundesberie],ME,,
houndfear,hundfear,᛫ cynophobia ᛫,N,hound+fear,NE×2,,
houndfish,hundfisc,᛫ the Tylosurus crocodilus fish ᛫,N,~,NE,,
hounding,hunding,᛫ a cynocephalus ( a mythological dogheaded man ) ᛫,N,hounding,ME,,
Hounding,Hunding,᛫ one of the Hundings ᛫,N(P),Hūndings,OE,,
houndly,hundlig,᛫ canine ᛫,AJ,~,NE,,
houndshead,hundshead,᛫ an Antirrhinum plant ( snapdragon ) ᛫,N,hundes hēafod,OE,,
houndstongue,hundstung,᛫ a Cynoglossum officinale plant ᛫,N,hound's tongue,NE,,
hour,hure,᛫ especially ᛫ particularly ᛫,AV,hūre[hūru],ME,the H is pronounced,
housebreach,husebreac,᛫ burglary ᛫,N,~[hūsbrice],NE,,
housechurl,husecerl,᛫ a housecarl ᛫ a huskarl ᛫,N,house+churl,NE,calque: huskarl.,
housecraft,husecraft,᛫ domestic science ᛫,N,~,NE,,
housedeer,husedeer,᛫ a pet ( an animal kept for company ) ᛫,N,house+deer,NE×2,calque: hûsdier,
housefather,husefaðer,᛫ the male head of a household ᛫ a patriarch ᛫ a paterfamilias ᛫,N,~,NE,[OED],
housel,husel,᛫ an offering to a god ᛫ Eucharist material ᛭ to offer to a god ᛫ to take or to give Eucharist material ᛫,N,~,NE,old heathen meaning was Christianised,
houselady,huseladig,᛫ the mistress of a house ᛫,N,~,NE,,
houseldish,huseldisc,᛫ a paten ( a Eucharist plate ) ᛫,N,hūseldisc,OE,,
houselord,huselord,᛫ the master of a house ᛫,N,~,NE,,
houselthane,huselþane,᛫ an acolyte ᛫,N,hūselþegn,OE,,
housemonger,husemonger,᛫ a real estate agent ᛫ an estate agent ᛫ a realtor ᛫,N,~,NE,[OED],
housemother,husemoðer,᛫ the female head of a household ᛫ a matriarch ᛫ a materfamilias ᛫,N,~,NE,[OED],
houser,huser,᛫ a member of a household ᛫,N,hūsa,OE,,
housewares,huseƿares,᛫ domestic utensils ( esp for the kitchen ) ᛫,N,~,NE,,
houth,huðe,᛫ prey ᛫ spoils ᛫ booty ᛫,N,hūþe,OE,,
hove,hof,᛫ a headdress ᛫ a coif ᛫ a turban [ᚹ] ᛫,N,hǒuve[hūfe],ME,rhyme: dove,
hove,hof,᛫ to float ᛫ to hover ᛫ to flutter in the air ᛫ to lie in wait ᛫ to lurk ᛫,V,hove,ME,rhyme: glove? ᛫ kin: hover,
hove,hof,᛫ moderation ᛫ discretion ᛫,N,họ̄f,ME‹N,,
hovel,hofel,᛫ a shed ᛫ a cottage ᛫ a small house ᛫ a low quality house ᛫,N,~,NE,,
hover,hofer,᛫ to float ᛫ to hang above something ᛫,V,~,NE,,
hover,hofer,᛫ a hump ᛫ a swelling ᛫ a humpback ᛭ humped ᛫ humpbacked ᛫ gibbous ᛫,N᛭AJ,hofer,OE,rhyme: over,
how,hoƿ,᛫ anxiety ᛫,N,hou[hoga],ME,rhyme: snow,
how,hoƿ,᛫ to intend ᛫ purpose ᛫ to long after ᛫,V,ho&houen[hogian]{hycgan},NE&ME,rhyme: snow,
how,hoƿ,᛫ to survey ᛫ to inspect ᛫ to view ᛫ to observe ᛫,V,hāwian&gehāwian,OE&OE,rhyme: snow,
Hown,Hune,᛫ a Hun ᛫,N(P),Hūnas,OE,,
hub,,᛫ a focal point ᛫ a center of activity ᛫ the central part of a wheel or circle ᛫,N,~,NE‹?,,
huckster,,᛫ a peddler ᛫ a petty merchant ᛫,N,~,NE‹‹OE?NL?,,
hue,heƿ,᛫ (a) colour ᛫ (a) form ᛫ (a) shape ᛫ physical appearance ᛫ a facial expression ᛫ a demeanor ᛫ a guise ᛫ a type ᛫ a model ᛫ a version [ᚹ] ᛫,N,hue&heu&hiw,NE&ME&OE,,[colour]
huer,heƿer,᛫ toner ᛫,N,hue+er,NE×2,,
hulk,,᛫ a hut ᛫ a hovel ᛫ a cabin ᛫ a trading ship ᛫ a warship ᛫ a huge and clumsy person or creature ᛫,N,hulk[hulc],ME‹OE,"some claim this word comes from Italic, but this is doubtful",
hulking,,᛫ bulky ᛫ unwieldy ᛫ lumbering ᛫ gigantic ᛫ huge ᛫ enormous ᛫,AJ,~,NE‹‹OE‹I,[OED],
hulstry,hulstrig,᛫ latebrosus ᛫ dark ᛫ secret ᛫,AJ,heolstrig,OE,,
hundred,,᛫ a division of a county with its own court ᛫ a territorial division containing one hundred homesteads ᛫,N,~,NE,,
hundreds alder,,᛫ a centurion ᛫,N,hundredes ealdor,OE,,
Hungery,Hungeri,᛫ Hungaria ᛫ Hungary ᛫,N(P),Hungerie,OE,or: Ungerland (OE alternative),
hunter's moon,,᛫ a full moon that follows right after the September equinox ᛫,N,~,NE,[MW],
hunth,hunð,᛫ catch ᛫ prey ᛫ game ᛫,N,huntaþ,OE,,
hurdle,hurdel,᛫ a lattice ᛫ a barrier frame ( often used for jumping over in sports ) ᛫,N,~,NE,,
hurl,,᛫ a downward rush ᛫ a rush of water ᛭ to rush ᛫ to throw with great force ᛫ to vomit ᛫,N᛭V,hurl&hurl&hurlen,NE&ME&ME,,
Huron Mere,Heƿron Mere,᛫ Lake Huron ᛫,N(P),Huron+mere,NE‹O+NE,,
hurst,,᛫ a copse ᛫ a grove ᛫ a sandbank ᛫ a sandbar ᛫,N,~,NE,,
hursting,,᛫ a vessel for frying ᛫,N,hursting,ME,,
hurtleberry,hurtelberrig,᛫ a berry from a Vaccinium myrtillus plant ᛫ a bilberry ᛫ a European blueberry ᛫ a blaeberry ᛫ a whimberry ᛫,N,~[hurtleberry][hurtilberye],NE,or: whortleberry,
husband,,᛫ a married man ᛫ a cultivator ᛭ to manage prudently and economically ᛫ to use sparingly ᛫ to conserve ᛫,N᛭V,~,NE‹N,,
husbandcraft,,᛫ husbandry ᛫ management and conservation of resources ᛫,N,husband+craft,NE×2,calque: husbandry,
husbanding,,᛫ cultivation ᛫ tillage ᛫ farming ᛫ careful management ᛫,N,~,NE,,
husbandman,,᛫ farmer ᛫,N,~,NE,,
hussy,hussig,᛫ an imprudent or immoral girl or woman ᛫,N,~[husewif],NE,doublet: housewife,
husting,,᛫ a deliberative assembly or council ᛫ a platform where candidates in an election give speeches ᛫,N,~,NE‹(N+E),,
hustings,,᛫ a husting ᛫ an election campaign ᛫,N,~,NE‹(N+E),,
hux,,᛫ an insult ᛫ an insulting remark ᛫ a jeer ᛫ mockery ᛫,N,hux[husc],ME,,
huxly,huxlig,᛫ in an insulting or derisive manner ᛫ mockingly ᛫,AV,huxlīce[huxlic],ME,,
huxy,huxig,᛫ insulting ᛫,AJ,hux+y,ME+NE,,
hy,hie,᛫ they ᛫,N(PRO),hē/hy/hie[hīe],ME,rhyme: pie,
hye,hie,᛫ thought ᛫ mind ( as in inclination or desire ) ᛫,N,hie/hige[hyge],ME,,
hyeless,hieless,᛫ thoughtless ᛫ mindless ᛫ foolish ᛫,AJ,hygelēas,ME,,
hyingly,hieinglig,᛫ immediately ᛫ quickly ᛫ soon ᛫ rapidly ᛫,AV,hīinglī,ME,,
ice flow,ise,᛫ a flow or stream of ice ᛫ a glacier ᛫,N,~,NE,,
ice fox,ise,᛫ a Vulpes lagopus mammal ( an arctic fox ) ᛫,N,~,NE,,
ice island,ise iland,᛫ an iceberg ᛫,N,~[island of ice],NE,,
ice shoal,ise scoal,᛫ an ice floe ᛫,N,~,NE,floe is Norse,
icebarrow,isebarroƿ,᛫ an iceberg ᛫,N,ice+barrow,NE×2,calque: ijsberg,
icebear,isebear,᛫ a polar bear ᛫,N,~,NE,note: ijsbeer,
icebird,isebird,᛫ an Alle alle bird ᛫ a little auk ᛫ a dovekie ᛫ a rotch ᛫ a rotche ᛫,N,ice-bird,NE,[OED] ᛫ auk is Norse,
icebound,isebund,᛫ frozen in ᛫,N,~,NE,,
iceclaws,iseclaƿs,᛫ crampons ᛫,N,ice-claws,NE,[OED],
Iceland,Iseland,᛫ Iceland ᛫,N,Iceland,NE,,
Icelandish,Iselandisc,᛫ Icelandic ᛫,N,Iceland+ish,NE×2,,
iceweasten,iseƿeasten,᛫ a stretch of polar desert ᛫,N,ice+wēsten,NE+ME,,
ickle,ickel,᛫ a piece of ice ᛫,N,ikel,ME,"found in ""icicle""",
ides,,᛫ a magical woman ? ᛫ a demi-goddess ? ᛫ a female ancestral spirit ? ᛫,N,ides,OE,,
idish,idisc,᛫ supellex ᛫ household stuff ᛫ furniture ᛫ furnishings ᛫ utensils ᛫,N,īdisc,OE,rhyme: eye dish,
idle,idel,᛫ inactive ᛫ ineffective ᛫ unimportant ᛫ pointless ᛫ vain ᛫,AJ,idle&idel,NE&OE,,
idlewolder,idelƿulder,᛫ vainglory ᛫,N,īdel wuldor,OE,,
idy,iddig,᛫ busy ᛫ active ᛫,AJ,idig,OE,,
iffy,iffig,᛫ of dubious authenticity legitimacy or reliability ᛫ dubious ᛫,AJ,~,NE,,
Ihood,,᛫ conscious personality ᛫ the ego ᛫,N,~,NE," ᛫ ""earliest use found in John Sparrow (1615–1670)"" - Lexico",
IIMR,,᛫ IIRC ( if I remember correctly ),AC,if+I+mind+right,E+E+E+E,,
ild,,᛫ mankind ᛫,N,ilde/ylde,OE,,
ile,,᛫ a granule ᛫,N,ile&egl,NE&OE,,
ile,,᛫ a hedgehog ᛫,N,igil,OE,,
Iliamna Mere,,᛫ Iliamna Lake ᛫,N(P),Iliamna+mere,NE‹O+NE,,
ilk,,᛫ same ᛫ identical ᛫,AJ,~,ME,"""same"" is Norse",
ilk,,᛫ a race ᛫ a kind ᛫ a sort ᛫ a type ᛫,N,~,NE,,
ilkhatred,,᛫ racism ᛫,N,ilk+hatred,NE×2,,
ill,,᛫ a sole of a foot ᛫,N,ile/yle&ile,ME&OE,kin: il (Icelandic),
illwill,illƿill,᛫ spite ᛫ rancour ᛫,N,~,NE,,
illy,illig,᛫ poorly ᛫,AV,~,NE,,
ilvet,ilfet,᛫ a swan ᛫,N,ilfette,OE,,
Imber,,᛫ one of the Ambrones ᛫,N(P),Ymbrum,OE,,
imen,,᛫ a hymn ᛫,N,imne[ymen],ME,"""h"" form is from the Latin word",
imm,imm,᛫ a gem ᛫ a precious stone ᛫ a gemstone ᛫ a jewel ᛫,N,yimme[gim],ME,,
immwright,immƿrigt,᛫ a jeweller ᛫,N,yim+wright,ME+NE,calque: gemwright,
imp,,᛫ to graft ᛫ to engraft ᛫ to implant ᛫ to inlay ᛫ to vaccinate [ᚹ] ᛫ to inoculate [ᚹ] ᛫,V,~,NE‹‹Þ‹I,widened meaning borrowed from NL enten and HG impfen,
impshaft,impscaft,᛫ a vaccine ᛫ an inoculum ᛫,N,imp+shaft,ME+NE,calque: entstof; Impfstoff,
in,,᛫ to include ᛫,V,geinnian{innian},OE,or: yin (unrealistic/fanciful),
in being,,᛫ in essence ᛫ essentially ᛫ basically ᛫,AV,in being,ME,,
in keeping with,ƿið,᛫ in accordance with ᛫,P,~,NE,,
in kind,,᛫ in the form of goods rather than money ᛭ in the same way ᛫,AJ᛭AV,~,NE,,
in name,,᛫ nominally ᛫,AJ᛭AV,~,NE,,
in the end,þe,᛫ ultimately ᛫,AV,~,NE,,
in the flesh,þe flesc,᛫ in person ᛫,AV,~,NE,,
in tow,toƿ,᛫ accompanying ᛫ following behind ᛫,AV,~,NE,,
in truth,treƿð,᛫ actually ᛫,AV,~,NE,,
inbed,,᛫ to embed ᛫,V,in+bed,NE‹(I+E),,
inblow,inbloƿ,᛫ to inflate ᛫,V,inblouen,ME,,
inborn,,᛫ innate ᛫ native ᛫ inherited by birth ᛫ pertaining to by birth ᛫,AJ,~,NE,,
inbosom,,᛫ to enclose ᛫ to conceal ᛫ to shelter ᛫ to embrace ᛫ to envelop ᛫,V,imbosom,NE,,
inbow,inboƿ,᛫ to arch ᛫ to curve ᛫ to incline ᛫,V,inbouen,ME,[OED],
inbowed,inboƿed,᛫ concave ᛫ bent inwards ᛫,AJ,inbowed,ENE,[OED],
inbowing,inboƿing,᛫ curvature ᛫,N,inbowyng,ME,[OED],
inbreak,,᛫ an invasion ᛫ an incursion ᛭ to break in ᛫ to make an incursion ᛫,N᛭V,~,NE,,
inbring,,᛫ to bring in ᛫ to introduce ᛫ to confiscate legally ᛫,V,~,NE,,
ince,ins,᛫ an ounce ᛫,N,yntse[uncia],OE‹I,,
inchmeal,incmeal,᛫ inch by inch ᛫ little by little ᛫ gradually ᛫,ADV,inch+meal,NE,,
income,incum,᛫ to enter ᛫,V,incomen,ME,PST: incame ᛫ PTCP: income,
incomer,incummer,᛫ an immigrant ᛫,N,~,NE,,
incund,,᛫ internal ᛫,AJ,incund,OE,,
indearing,,᛫ endearing ᛫ cute ᛫,AJ,endearing,NE,,
Indish,Indisc,᛫ Indian speech ᛭ Indian ᛫,N(P)᛭AJ(P),Ī̆ndish,ME‹O,,
Indonesia,,᛫ Indonesia ᛫,N(P),~,NE‹O,or: Nusantara,
indwell,indƿell,᛫ to possess ( as in spiritual possession ) ᛫ to dwell within ᛫,V,~,NE,,
Indy,Indi,᛫ India ᛫,N(P),Ī̆nde/Yndee,ME‹O,,
ineard,,᛫ to dwell ᛫ to inhabit ᛫,V,ineardian,OE,,
infall,,᛫ an incursion ᛫,N,~,NE,,
infare,,᛫ an entrance ᛫ an invasion ᛫ an incursion ᛫ an inroad ᛫ a wedding reception ᛭ to invade ᛫ to enter ᛫,N᛭V,infare&infaru&inferan,NE&OE&OE,,
inflow,infloƿ,᛫ an influx ᛫,N,~,NE,,
infold,,᛫ to involve ᛫ to embroil ᛫,V,infōlden,ME,poorly attested,
ing,,᛫ a meadow ( esp when near a river ) ᛫,N,~[ing/eng],NE,,
ing,,᛫ -tion ᛫ -ation ᛫ -sion ᛫,SUFFIX,~,NE,,
ingang,,᛫ an entrance ᛫ an entryway ᛫ an admission ᛫ permission to enter ᛫ access ᛫,N,~,NE,,
ingle,ingel,᛫ an angel ᛫,N,engel,ME‹I‹H‹?,,
ingly,inglig,᛫ angelic ᛫,AJ,engellīc,OE,,
ingrave,ingrafe,᛫ to engrave ᛫ to inscribe ᛫,V,~,NE,,
ingraving,ingrafing,᛫ an engraving ᛫ an inscription ᛫,N,~,NE,,
inhide,,᛫ thought ᛫ conscience ᛫ intent ᛫ intention ᛫ intentional purpose ᛫,N,inihīd[ingehȳd],ME,,
inhold,,᛫ to contain ᛫ to possess ᛫,V,~,NE,,
inholding,,᛫ content ᛫,N,~,NE,,
ink,,᛫ you two ( accusative ) ᛫,N(PRO),inc,ME,,
inker,,᛫ your ( dual you two's ) ᛫,N(PRO),incer,OE,,
inkers,,᛫ yours ( dual you two's ) ᛫,N(PRO),incer,OE,,
inkhorn,,᛫ a fancy word borrowed into English though it is not needed ᛫,N,~,NE‹(H+E),,
inkle,inkel,᛫ to suspect ᛫,N᛭V,inkling,NE,,
inkling,,᛫ suspicion ᛫,N,~,NE,,
inkselves,inkselfs,᛫ you two's selves ᛫,N(PRO),inc seluen,ME,,
inlander,,᛫ a native ᛫,N,inlenda,OE,,
inlandish,inlandisc,᛫ native ᛫ indigenous ᛫,AJ,inlendisc,OE,,
inlay,inlag,᛫ to ornament by embedding ᛫,V,~,NE,,
inlet,,᛫ a narrow strip of water which goes from a sea or lake into the land ᛫ a place or means of entry ᛫,N,~,NE,[CED],
inlighten,inligten,᛫ to enlighten ᛫,V,~[inlī̆ghtnen],NE,,
inlightening,inligtening,᛫ enlightenment ᛫,N,inlighten+ing,ME+NE,,
inlying,inlieing,᛫ situated within or inside ᛫ interior ᛫,AJ,~,NE,[CED],
inn,,᛫ a hotel ᛫ a hostel ᛫,N,~,NE,[OED],
inname,,᛫ an endonym ᛫ an autonym ᛫,N,in+name,NE+NE,,
innard,,᛫ an inner working of something ( such as an organ ) ᛫,N,~,NE,from: inwards,
innards,,᛫ interior parts or components of something ( esp working parts and organs ) ᛫,N,~[inwards],NE,,
inner,,᛫ internal ᛫ interior ᛫,AJ,~,NE,,
innoth,innoð,᛫ a womb ᛫ entrails ᛫ a gall bladder ᛫ inner workings ᛫ hidden causes ᛫,N,innoth[innoþ],ME,,
input,,᛫ an insertion ᛭ to insert ᛫,N᛭V,~,NE,,
inroad,,᛫ an incursion ᛫,N,~,NE,,
inrown,inrune,᛫ to encrypt ᛫,V,in+rown,NE×2,calque: encrypt,
inruning,,᛫ encryption ᛫,N,in+rown+ing,NE×3,calque: encryption,
insail,insagl,᛫ a seal ᛫ a signet ᛭ to seal ( to place a seal upon ) ᛫,N᛭V,insegel&inseglian,OE&OE,,
inset,,᛫ to implant ᛫,V,insetten,ME,,
insight,insigt,᛫ a deep and accurate understanding of something ᛫,N,~,NE,,
insooth,insooð,᛫ really ᛫ actually ᛫,AV,~,NE,,
instep,,᛫ an entrance ᛫,N,instæpe,OE,,
intangling,,᛫ entanglement ᛫,N,in+tangle+ing,NE×3,,
inthrutch,inþruc,᛫ an impression ᛫,N,in+thrutch,NE+ME,calque: Eindruck; indruk,
inting,,᛫ a cause ( a reason something happens ) ᛫,N,intinge&intinga,ME&OE,,
inward,inƿard,᛫ internal ᛭ towards the inside ᛫,AJ᛭AV,~,NE,,
inwardly,inƿardlig,᛫ internal ᛭ internally ᛫,AJ᛭AV,~,NE,,
inwid,inƿid,᛫ fraud ᛫ guile ᛫ deceit ᛫ a malicious trick ᛫,N,inwid[inwit],OE,,
inwidful,inƿidful,᛫ deceitful ᛫ guileful ᛫ malicious ᛫ evil ᛫,AJ,inwitfull,OE,,
inwit,inƿit,᛫ conscience ᛫,N,~,NE,,
inwriting,inƿriting,᛫ an inscription ᛫,N,inwrītinge,ME,,
inwrought,inƿrougt,᛫ established ᛫ ingrained ᛫,AJ,~,NE,,
Iraq,Irack,᛫ Iraq ᛫,N(P),Iraq,NE‹O,,
Ires,,᛫ Irishmen ᛫,N,irās,OE,singular form not attested?,
irl,irl,᛫ a garment ᛫ attire ᛫ apparel ᛫ garments ᛫,N,girela,OE,,
iron cloth,cloð,᛫ mail ᛫ chainmail ᛫,N,~,NE,,
ironclad,,᛫ covered or protected with iron ᛫ irrefutable ᛫ impossible to contradict ᛫,AJ,~,NE,,
ironroad,,᛫ a railway ᛫,N,~,NE,,
irse,,᛫ to anger ᛫ to provoke ᛫ to be angry ᛫ to rage ᛫,V,irsien[irsian],ME,,
irth,irð,᛫ ploughing ᛫ tilling ᛫ farming ᛫ produce of a farm ᛫ a crop ᛫,N,irþ,OE,,
irthland,irðland,᛫ farmland ᛫ arable land ᛫,N,irþland,OE,,
irthling,irðling,᛫ a plougher ᛫ a tiller ᛫ a farmer ᛫,N,irþling,OE,,
isel,,᛫ a spark ᛫ a cinder ᛫ an ember ᛫ ashes ᛫ ( when plural ) the ruins of a destroyed city ᛫ a cake or a pie baked under hot ashes ᛫,N,īsel[ysle],ME,survives as: aizle?,
ish,isc,᛫ -ian ᛫ -ic ᛫,SUFFIX,~,NE,,
island,iland,᛫ an isle ᛫,N,~,NE,,
islandish,ilandisc,᛫ insular ᛫,AJ,~,NE,,
Ismahelitish,Ismahelitisc,᛫ Ishmaelite ᛫,AJ(P),ismahēlitisc,OE,,
Ismahelits,,᛫ Ishmaelites ᛫ Bedouins ᛫,N(P),Ismahēlitas,OE,,
