adwell {"v":["allure","attract"]}
firenlust {"n":["lust","wantonness"]}
fires {"n":["humans"]}
fireward {"n":["fire chief","fire warden"]}
firk {"v":["hasten","jerk","fidget","fuss"]}
firlen {"a":["distant","remote"]}
firse {"v":["keep away","take away"]}
fishhawk {"n":["osprey"]}
fishhouse {"n":["fish tank","aquarium","fish store","shack"]}
fishly {"a":["piscine","ichthyic"]}
fistfighting {"n":["pugilism"],"a":[]}
fivald {"n":["butterfly"]}
fiveleaf {"n":["cinquefoil"]}
fivepenny {"n":["nickel"],"a":["nickel"]}
flaxenheered {"a":["blond"]}
flearder {"n":["trickster"]}
fleek {"n":["hurdle"]}
fleem {"n":["outcast"],"v":["exile"]}
fleetings {"n":["curds","cream"]}
fleshhame {"v":["incarnate"]}
fley {"v":["scare","become scared"]}
flitecraft {"n":["arguing"]}
flitecraftly {"a":["disputational"]}
flitem {"n":["lancet","scalpel"]}
fliting {"n":["quarrel"]}
flone {"n":["arrow","bolt","dart","projectile"]}
foken {"n":["fraud","deceitfulness","guile","fake"],"a":["deceitful","false","fake"]}
fokenful {"a":["deceitful","fraudulent"]}
fokentoken {"n":["false signal","false sign","false token","misdirection"]}
folkbale {"n":["public backlash"]}
folkcouth {"a":["well-known","popular"]}
folkmear {"a":["folk-known"]}
folkshather {"n":["villain"]}
folkstow {"n":["country place","rustic place"]}
fon {"v":["fool","dupe"]}
footly {"a":["pedestrian"]}
forane {"r":["beforehand"]}
forbird {"n":["forbearance","abstention"]}
forbraid {"v":["corrupt","pervert","make monstrous"]}
forby {"r":["besides"],"p":["besides"],"i":["besides"]}
fordit {"v":["stop"]}
fordraw {"v":["stretch","take"]}
forebisen {"n":["model","template","archetype"],"v":["model"]}
foreboder {"n":["prophet"]}
forecoming {"n":["advent"],"a":["advent","preceding"]}
forefang {"v":["anticipate"]}
foreganger {"n":["herald"]}
foregate {"n":["main entrance","front gate"]}
forenamed {"a":["aforementioned"]}
foreridle {"n":["precursor","harbinger"]}
foresetting {"n":["proposal","proposition"]}
foresmack {"n":["foretaste","sample"]}
forespeak {"v":["foretell"]}
foreswayed {"a":["biased"]}
foretooth {"n":["incisor","front tooth"]}
forgivenly {"a":["dative"]}
forhadness {"n":["abstinence"]}
forhave {"v":["restrain","abstain"]}
forhew {"v":["slash","cut"]}
forked cap {"n":["mitre"]}
forleese {"v":["abandon","forfeit","lose","desert","damn"]}
forlie {"v":["fornicate"]}
formfather {"n":["progenitor"]}
formly {"r":["originally","primally"]}
formmother {"n":["progenitrix"]}
forn {"a":["previous","former"],"r":["formerly","previously","before"],"p":["before"],"i":["before"]}
fornigh {"r":["almost"]}
fornumb {"a":["sluggish"]}
forqueath {"v":["deny","reject"]}
forread {"v":["betray","mislead"]}
forshape {"v":["transform","distort","disfigure","degrade"]}
forslack {"v":["neglect","be neglectful"]}
forspent {"a":["exhausted","fatigued"]}
forstop {"v":["stop completely","block"]}
forswy {"v":["keep silent","be silent"]}
forthen {"r":["consequently"],"p":["consequently"],"i":["consequently"]}
forthfill {"v":["fulfil"]}
forthnim {"v":["remove","leave"]}
forthtee {"v":["draw forth","quote","cite"]}
forthward {"n":["agreement","contract","treaty","pledge"]}
forthwiten {"a":["goneby"]}
forthwiten tide {"n":["the past tense"],"a":["past"]}
forwarry {"v":["hex","curse"]}
forwhy {"r":["because"]}
forwright {"n":["agent"]}
fother {"n":["load","heavy weight","burden","large amount"]}
fought {"a":["moist","damp"]}
foughtenfield {"n":["battleground","battlefield"]}
fourwheeler {"n":["ATV","quad","all-terrain vehicle"]}
fouse {"a":["ready","prepared","willing","inclined","disposed"]}
fousely {"r":["readily","promptly","gladly"]}
foxly {"a":["vulpine","cunning"]}
fraked {"a":["bad","vile","shameful"]}
Frankdom {"n":["the Francosphere"]}
fratow {"n":["treasure","adorn","decorate"],"v":["treasure","adorn","decorate"]}
frea {"n":["lord","master"]}
frech {"a":["greedy","bold","fierce"]}
freck {"v":["checker"]}
freed {"v":["experience","learn through experience"]}
freek {"n":["man"]}
freeledge {"n":["franchise","vote"]}
freem {"n":["benefit"],"v":["benefit"]}
fremmed {"v":["alienate","estrange"],"a":["foreign"]}
fremmedling {"n":["foreigner"]}
frettle {"a":["voracious"]}
Frie {"n":["Venus"],"p":["Venus"],"i":["Venus"]}
Frily {"a":["Venusian"]}
Frish {"n":["Frisian"],"p":["Frisian"],"i":["Frisian"],"a":["Frisian"]}
fristing {"n":["delay","postponement"]}
frithe {"a":["beautiful"]}
frithful {"a":["peaceful","gentle","mild"]}
frithoath {"n":["truce"]}
from {"n":["source","origin","founder","inventor"],"a":["firm","potent"]}
fromchar {"v":["avert"]}
fromward {"r":["away","from"],"p":["from"],"i":["away","from"]}
fromwharve {"v":["depart","turn"]}
frough {"a":["brittle","frail"]}
frumth {"n":["beginning","origin"]}
fulfledged {"a":["entire","authentic","fully feathers"]}
fullblown {"a":["ripe","puffed up"]}
fullbore {"a":["full-blown","maximum effort"],"r":["full-blown","maximum effort"]}
fulmard {"n":["polecat"]}
fultom {"n":["support","succour"]}
Gaelish {"n":["Irish","Scottish","Manx"],"p":["Irish","Scottish","Manx"],"i":["Irish","Scottish","Manx"],"a":["Irish","Scottish","Manx"]}
gaffeting {"n":["mocking"]}
galderquid {"n":["saying"]}
Gallish {"n":["Gaulish"],"p":["Gaulish"],"i":["Gaulish"],"a":["Gaulish"]}
Gallwales {"n":["Gaul"],"p":["Gaul"],"i":["Gaul"]}
gamesare {"n":["gaming","arcade machine"]}
gamesome {"a":["playful","frolicsome"]}
gamewood {"n":["guitar"]}
gammock {"n":["jest","prank","frolic","antic","trick","romp"],"v":["jest","prank","frolic","antic","trick","romp"]}
garclive {"n":["Agrimonia plant","agrimony"]}
Gascon {"n":["native of Gascony"],"p":["of Gascony"],"i":[],"a":["native of Gascony"]}
gersome {"n":["treasure","valuable","valuables"]}
ghostlore {"n":["ghostology","spectrology"]}
ghostword {"n":["word"]}
ging {"n":["troop","band","company","assemblage"]}
ginge {"a":["current","prevalent"]}
givelness {"n":["liberality"]}
giveth {"a":["ordained"]}
glar {"n":["amber"]}
glassen {"v":["vitrify"]}
glassrown {"n":["rune whose shape is mirrored"]}
glasswright {"n":["glassmaker","glazier"]}
glazemill {"n":["machine"]}
gleed {"n":["bird of prey","kite"]}
glemb {"n":["blemish"]}
glenge {"n":["ornament","medal"]}
glewer {"n":["jester","clown"]}
glewly {"r":["prudently","wisely","clearly","well"]}
glewness {"n":["wisdom"]}
glim {"n":["candle","lantern"]}
gnast {"n":["spark","live coal","small flame"]}
gneed {"a":["stingy","scanty","scarce"]}
gnide {"v":["rub","grind"]}
gnorn {"n":["sorrow","grief"],"v":["grieve","lament"]}
gnorny {"a":["aggrieved","lamentful","dejected"]}
goatish {"n":["caprine","hircine"]}
goatling {"n":["kid"]}
godhead {"n":["god"]}
godkind {"n":["divine nature"],"a":["divine"]}
godkindness {"n":["divinity"]}
godsent {"a":["unexpectedly beneficial"]}
godshild {"n":["impiety"]}
godsibred {"n":["sponsorship"]}
godweb {"n":["fine clothing"]}
goings on {"n":["events","activities"]}
goldhoard {"n":["treasury"]}
gooddoer {"n":["do-gooder"]}
gooderheal {"n":["good fortune"],"i":["good fortune"]}
goodman {"n":["Mister"]}
goodwife {"n":["Mistress","Mrs"]}
Gottish {"n":["the Gothic tongue","Gothic"],"a":["Gothic"]}
gouthfane {"n":["ensign"]}
gouthhawk {"n":["war hawk","warmonger"]}
graff {"n":["stylus"]}
graftiwork {"n":["engraved piece of art","carved sculpture"]}
greatgun {"n":["cannon"]}
green sickness {"n":["chlorosis"]}
greeneyed {"a":["jealous","envious"]}
greenstone {"n":["jade","nephrite"]}
greywader {"n":["Glariolinae bird","pratincole"]}
grise {"v":["fear","be terrified"]}
groor {"n":["terror","horror"],"a":["terrifying","horrifying"]}
groundline {"n":["baseline","foundation","basis"]}
groundpitch {"n":["pitch"]}
growingly {"r":["increasingly","progressively"]}
gutfire {"n":["gastroenteritis","stomach flu"]}
hackster {"n":["ruffian"]}
haked {"n":["Esox fish","ged"]}
halch {"v":["fasten","loop"]}
half moon {"n":["crescent","moon"]}
halfbred {"a":["crossbred","mongrel"]}
halidom {"n":["holiness","sanctity"]}
halk {"n":["cavity"]}
halse {"v":["hug","embrace","caress","fondle"],"n":["neck","throat"]}
halsebee {"n":["torc"]}
halsend {"n":["omen"]}
halser {"n":["diviner","exorcist"]}
halsewort {"n":["throatwort plant"]}
halsing {"n":["divination","fortune telling","augury"]}
Halsing {"n":["Halsing"],"p":["Halsing"],"i":["Halsing"]}
hammerbore {"n":["jackhammer"]}
hammerwort {"n":["plant"]}
handglass {"n":["magnifying glass","hand mirror"]}
handlings {"r":["by hand","manually"]}
handwhile {"n":["moment","instance"]}
hangby {"n":["dependent"]}
hangup {"n":["delay","suspend"],"v":["delay","suspend"]}
hansel {"n":["token","gift"]}
hapful {"a":["lucky","fortunate"]}
harddrive {"n":["hard disk"]}
hardhew {"n":["chicory"]}
hareeyed {"a":["wide-eyed"]}
harehearted {"a":["timorous","timid","easily frightened"]}
haresbeard {"n":["plant","mullein"]}
hareseye {"n":["lagophthalmus","lagophthalmia"]}
harfee {"n":["booty","war spoils"]}
harfolk {"n":["army folk"]}
harhithe {"n":["spoil","booty","plunder"]}
harkworthy {"a":["noteworthy"]}
harman {"n":["warrior"]}
harmquid {"n":["blasphemy","harmful speech"]}
harreaf {"n":["spoil","booty","plunder"]}
hartclover {"n":["Melilotus plant","melilot"]}
harthreat {"n":["troop"]}
hase {"a":["grey","ashen"]}
hather {"v":["restrain","confine"]}
hatshop {"n":["hat store"]}
Hatwere {"n":["one of the Chattuarii"],"p":["sub-group of the Franks"],"i":["one of the Chattuarii"]}
haveless {"a":["poor","destitute"]}
hayriff {"n":["cleavers"]}
haystold {"n":["bachelor","unmarried male","virgin"]}
hayward {"n":["agricultural overseer","hedger","grain protector","harvest overseer"]}
hazelwort {"n":["Asarum europaeum plant"]}
headleighter {"n":["chief error"]}
headly {"a":["chief"]}
headstool {"n":["chief seat"]}
healall {"n":["panacea","universal remedy"]}
heam {"v":["marry"]}
heamedy {"a":["sexual"]}
heapmeal {"r":["in heaps","heap by heap"]}
heartlike {"a":["like a heart","central","core"]}
heartquake {"n":["heart palpitation","feeling of strong or sudden emotion"]}
heartseath {"n":["pansy"]}
heartsome {"a":["uplifting","comforting","lively","joyful","pleasant"]}
heathglemb {"n":["war wound"]}
heathweed {"n":["military clothing"]}
hedden {"n":["hood","cloak"]}
helfry {"a":["bloody"]}
hellrown {"n":["witch"]}
hellwite {"n":["hell"]}
helver {"n":["gore"]}
hemptree {"n":["plant","tree"]}
hemth {"n":["shirt"]}
henbell {"n":["henbane","plant"]}
hendly {"r":["courteously","chivalrously"]}
hendness {"n":["courtesy","politeness"]}
hent {"p":["until"],"i":["until"],"v":["grasp","seize","capture","arrest"]}
henth {"n":["humiliation","disgrace"]}
henward {"a":["fleeting","brief","transient"]}
Herdsman {"n":["Boötes"]}
herethrough {"r":["by this means"]}
heriot {"n":["military equipment","return of military equipment"]}
hewish {"n":["household"]}
hewnbill {"n":["scaup"]}
hewngreen {"a":["blue-green"]}
hidel {"n":["hiding place","refuge"]}
hideyield {"n":["property tax","tax"]}
hidlings {"a":["secret","clandestine"],"r":["secretly"]}
hield {"n":["slope","incline","declivity"],"v":["slope","incline"]}
highblown {"a":["pretentious","exaggerated"]}
highhearted {"a":["carefree","happy","brave"]}
highherd {"n":["chief pastor"]}
highminded {"a":["noble","honourable","magnanimous"]}
highmindedness {"n":["pride","nobility","honourableness","magnamity"]}
highmoody {"a":["proud","lofty","haughty"]}
highstrung {"a":["tense","stressed","nervous","intense"]}
hightide {"n":["culminating point","climax"]}
hightle {"v":["adorn","embellish","ornament"]}
hildlate {"n":["coward"]}
hildspel {"n":["story about battle"]}
hilk {"n":["bend","turn","winding"]}
hilling {"n":["cover"]}
hillwort {"n":["pennyroyal"]}
himmel {"n":["hummel"]}
hinderland {"n":["uncharted land","land surrounding a town or port"]}
hinderling {"n":["wretch","beast"]}
hindlook {"n":["afterlook","look in review"]}
hindneck {"n":["nape"]}
hipping {"n":["diaper","nappy"]}
hirdman {"n":["retainer"]}
hit up {"v":["contact"]}
hithe {"n":["port"],"v":["plunder","ravage","pillage"]}
hoardcleeve {"n":["treasury"]}
hoardcove {"n":["place for treasure","place where thoughts are stored"]}
hoardern {"n":["storeroom","storehouse"]}
hoardlock {"n":["coffer"]}
hode {"v":["ordain","hallow"]}
hoder {"a":["clear"]}
hoff {"n":["house","palace"]}
holdend {"n":["keeper","guardian"]}
holet {"v":["greet","salute"]}
holirope {"n":["hemp-agrimony"]}
holk {"n":["hollow","cavity","excavate"],"v":["hollow","excavate"]}
holy fire {"n":["St","Anthony's fire"]}
homefear {"n":["ecophobia"]}
hoofdeer {"n":["ungulate"]}
hool {"n":["vain speech","slander","calumny"],"v":["slander","calumniate"]}
hoose {"n":["troop","band","party"]}
hore {"n":["filth","dirt","mud","slime","muck"],"v":["defile","defoul"]}
hornkin {"n":["croissant"]}
horsed {"n":["on horseback"]}
horsefeathers {"n":["nonsense"]}
horseheal {"n":["elecampane"]}
horsethane {"n":["horse officer","marshal"]}
horsh {"a":["quick-witted"]}
houndberry {"n":["berry"]}
houndshead {"n":["snapdragon"]}
housechurl {"n":["housecarl"]}
housedeer {"n":["pet"]}
housel {"n":["Eucharist"]}
houseldish {"n":["plate"]}
housemonger {"n":["estate agent"]}
housewares {"n":["domestic utensils"]}
houth {"n":["booty"]}
hove {"n":[],"v":["float","hover","flutter in the air"]}
hulstry {"a":["dark","secret"]}
Hungery {"n":["Hungary"],"p":["Hungary"],"i":["Hungary"]}
hunth {"n":["prey","game"]}
hurtleberry {"n":["berry"]}
husbandcraft {"n":["husbandry","management"]}
husbanding {"n":["cultivation","tillage","farming","care"]}
husting {"n":["assembly","platform"]}
hux {"n":["mockery"]}
huxly {"r":["mockingly"]}
hyeless {"a":["thoughtless","mindless","foolish"]}
hyingly {"r":["quickly","soon","rapidly"]}
ice flow {"n":["glacier"]}
ice fox {"n":["fox"]}
icebird {"n":["icebird"]}
idish {"n":["household stuff","furniture","utensils"]}
idy {"a":["busy","active"]}
Ihood {"n":["ego"]}
IIMR {"x":["IIRC","if I remember correctly"]}
illwill {"n":["spite"]}
in being {"r":["essentially"]}
in tow {"r":["following"]}
inbosom {"v":["enclose","conceal","shelter","embrace"]}
inbow {"v":["arch","curve"]}
inbowed {"a":["concave"]}
inchmeal {"r":["gradually"]}
Indish {"n":["Indian"],"p":["Indian"],"i":["Indian"],"a":["Indian"]}
ineard {"v":["dwell","inhabit"]}
ing {"n":["meadow"],"x":[]}
ingrave {"v":["inscribe"]}
ingraving {"n":["inscription"]}
inhide {"n":["intent","purpose"]}
inker {"n":["you two's"]}
inkers {"n":["yours","dual you two's"]}
inlying {"a":["interior"]}
inname {"n":["endonym"]}
innoth {"n":["womb","entrails","inner workings"]}
insail {"n":["seal","signet"],"v":["seal","signet"]}
insooth {"r":["really"]}
inwid {"n":["fraud","guile","deceit","trick"]}
inwidful {"a":["evil"]}
irl {"n":["garment","garments"]}
iron cloth {"n":["mail","chainmail"]}
irse {"v":["anger","provoke","rage"]}
irth {"n":["ploughing","tilling","farming"]}
irthland {"n":["farmland","arable land"]}
irthling {"n":["farmer"]}
isel {"n":["spark","ember","ashes","cake"]}
ish {"x":["-ic"]}
Ismahelits {"n":["Bedouins"],"p":["Bedouins"],"i":["Bedouins"]}
Israelish {"a":["Israeli","Israelite"]}
issing {"n":["covetousness"]}
ist {"n":["tempest","hurricane"]}
ithelidder {"n":["ship"]}
ithing {"n":["overflowing"]}
Joudish {"n":["Jewish"],"p":["Jewish"],"i":["Jewish"],"a":["Jewish"]}
Joudishman {"n":["Jew"],"p":["Jew"],"i":["Jew"]}
kedlock {"n":["white mustard"]}
keeling {"n":["cooling","refreshment"]}
kemb {"v":["comb","neaten","tidy","card"]}
kench {"v":["laugh","jeer"]}
kind wit {"n":["natural intelligence"]}
kindlimb {"n":["sex organ","vulva","uterus","penis"]}
kingsbloom {"n":["peony"]}
kingsspear {"n":["asphodel"]}
kinrun {"n":["family","generation","posterity"]}
kinshipwise {"a":["relative"],"r":["relatively"]}
kinshroud {"n":["king's raiment"]}
kinworth {"a":["regal"]}
kinyard {"n":["sceptre"]}
kir {"n":["choice","option"]}
kist {"n":["virtue","character"]}
kitchen sieve {"n":["strainer"]}
kithey {"a":["familiar","known"]}
knape {"n":["boy"]}
knapling {"n":["youth","boy"]}
knar {"n":["crag","knot in wood"]}
kneat {"v":["argue","dispute","contend"]}
kneating {"n":["argument","debate"]}
kneeholm {"n":["butcher's-broom"]}
knightship {"n":["knighthood"]}
knitch {"n":["bundle"]}
knoller {"n":["sexton","sacristan"]}
knoosle {"n":["genus"]}
knop {"n":["knob"]}
lakering {"n":["mockery","scorn"]}
landshape {"v":["landscape","modify"]}
latemost {"a":["final","most recent"]}
latred {"a":["tardy"]}
latsome {"a":["disgusting","repulsive","loathsome"]}
latterday {"a":["modern"]}
laughsome {"a":["funny","humorous"]}
laughtermaker {"n":["joker","buffoon"]}
lawer {"n":["laurel","bay"]}
lawwit {"n":["lawyer"]}
leadpitch {"n":["leading tone","music"]}
leafdom {"n":["leafage"]}
leanland {"n":["leased land","feudal land"]}
learningman {"n":["pupil","student"]}
leasesawl {"a":["falsehood saying"]}
leasespel {"n":["fable"]}
leaseteeth {"n":["false teeth","dentures"]}
leath {"n":["hatred","hostility"]}
leaveful {"a":["allowable","permissible"]}
Leeden {"n":["Latin"],"p":["Latin"],"i":["Latin"],"a":["Latin"]}
leedfrom {"n":["founder"]}
leeser {"n":["liberator","redeemer"]}
leethe {"v":["free","loose"]}
leethwork {"n":["composition","poem"]}
leethy {"a":["poetic","symbolic"]}
leftwise {"r":["counterclockwise","anticlockwise"]}
leighton {"n":["garden"]}
lench {"v":["arrogance","haughtiness","insolence","pride"],"n":["chain","mail"]}
letty {"a":["obstructive"]}
levenlore {"n":["electronics"]}
leveny {"a":["electric","electronic"]}
liblock {"n":["crafting of medicine","negative connotation"]}
libster {"n":["witch"]}
lichame {"n":["body","corpse"]}
lichet {"v":["feign","pretend"]}
lichetter {"n":["feigner","pretender"]}
lichetting {"n":["feigning","pretense","falsehood","hypocrisy"]}
lichhouse {"n":["mortuary"]}
lichsong {"n":["dirge"]}
lichyard {"n":["graveyard"]}
lickspittle {"n":["fawner"]}
liefly {"a":["precious","pleasant","agreeable","delightful","loveable"],"r":["willingly","gladly"]}
lifelode {"n":["lifetime","conduct","way"]}
lifesrun {"n":["curriculum vitae","CV"]}
liffet {"v":["flatter"]}
liffeter {"n":["flatterer"]}
liffeting {"n":["flattery"]}
liggat {"n":["gate"]}
lightbere {"a":["luminous","brilliant","splendid"]}
lightminded {"a":["frivolous","not serious"]}
lightmindedness {"n":["frivolity"]}
lightmood {"a":["light-hearted","easy-tempered"]}
likesome {"a":["agreeable","pleasant","likable"]}
limbmeal {"r":["in pieces"]}
linking {"a":["connecting","joining"]}
lippen {"v":["trust","entrust"]}
lire {"n":["flesh","meat"]}
liteful {"a":["beautiful","handsome","comely"]}
liteless {"a":["hideous"]}
litheby {"a":["meek","compliant","obedient"]}
lither {"a":["base","depraved","wicked","lewd","sordid","worthless","wickedly","treacherously","poorly"],"r":["base","depraved","wickedly","treacherously","poorly"],"n":[],"v":[]}
lithsew {"n":["synovial fluid"]}
litten {"n":["graveyard"]}
lix {"v":["flash","glitter"]}
loadboard {"n":["pallet"]}
loanwend {"n":["loan translation","calque"]}
loathspel {"n":["tragic story","unpleasant story"]}
loavely {"a":["praiseworthy","laudable","honourable"]}
loavesome {"a":["excellent"]}
loavesong {"n":["hymn","psalm"]}
lockered {"a":["curly","curled","tangled","matted"]}
lodder {"n":["pauper"]}
loddering {"n":["nonsense","rubbish","triviality"]}
lodesman {"n":["navigator","pilot","guide"]}
loke {"n":["offering","sacrifice"],"v":["play","wave"]}
loken {"v":["heal","cure","tend to","take care of","dress"]}
lokening {"x":["-therapy"],"v":["healing","cure","remedy"]}
Loller {"n":["protestant"]}
longaxe {"n":["poleaxe","halberd"]}
longgun {"n":["gun with a long barrel","cannon"]}
longplayer {"n":["album"]}
longshort {"n":["trochee"],"a":["trochee"]}
lonkful {"a":["arrogant"]}
lookbook {"n":["photo album"]}
lootby {"n":["paramour"]}
looth {"n":["booty","spoils"],"v":["booty","spoils"]}
lorel {"n":["rascal","scoundrel","wretched person"]}
loreless {"a":["ignorant"]}
lorelest {"n":["ignorance","educationlessness"]}
lorelistend {"n":["catechumen"]}
lorequid {"n":["precept"]}
loresman {"n":["instructor","expert"]}
lorespel {"n":["sermon","homily","treatise","essay"]}
loreswike {"n":["false lore","pseudo-science"]}
lorn {"a":["forlorn","desolate"]}
loseyns {"n":["lasagna","lasagne"]}
louk {"n":["lock up"]}
loveling {"n":["darling"]}
lovenly {"a":["lovable"]}
lovered {"n":["love"]}
lovestitch {"n":["lovage"]}
loveworthy {"a":["lovable"]}
lowkey {"a":["subtle"],"r":["subtly"]}
lowling {"n":["commoner"]}
Ludder {"n":["one opposed to technological change"]}
lur {"n":["damage","loss"]}
lutty {"a":["sly","crafty","cunning"]}
Macedony {"n":["Macedon"],"p":["Macedon"],"i":["Macedon"]}
mainful {"a":["powerful","mighty"]}
mainless {"a":["feeble"]}
mair {"v":["lean"],"a":["meager","lean"]}
maister {"n":["master"]}
maith {"n":["girl","maiden"]}
maithe {"n":["camomile"]}
makebelieve {"n":["pretend","imaginary"],"v":["pretend"],"a":["pretend","imaginary"]}
malm {"n":["rock","soil"]}
man about town {"n":["socialite"]}
manbane {"n":["tobacco"]}
mand {"n":["basket"]}
mandeed {"n":["evil deed","crime"]}
mank {"v":["mutilate","mangle","maim"]}
manmade {"a":["artificial"]}
Mannish {"n":["Manx"],"p":["Manx"],"i":["Manx"],"a":["Manx"]}
manship {"n":["gallantry","chivalry"]}
manshiply {"r":["honourably","courteously"]}
manswear {"v":["swear falsely","perjure"]}
mantledeer {"n":["animal"]}
mardy {"a":["bratty"]}
Markish {"n":["Mercian"],"a":["Mercian"]}
markle {"n":["signet","seal","mark"]}
marth {"n":["weasel"]}
maslin {"n":["brass"]}
masten {"n":["mast-pasture"],"v":["fatten"]}
maywrit {"n":["pedigree"]}
meaningly {"r":["purposely"]}
mearth {"n":["grandeur","marvel"]}
meatfettle {"n":["pantry","larder","butlery"]}
meddem {"a":["common","average"]}
meddom {"v":["measure"],"n":["measure"]}
meechfish {"n":["mullet"]}
meel {"n":["speak"],"v":["speak"]}
meer {"a":["famous","great"]}
meethe {"v":["restrain","bring within bounds"]}
meethful {"a":["temperate","modest","moderate"]}
meetly {"r":["suitably","properly"]}
mensk {"n":["honour","honourable","praiseworthy"],"a":["honour","honourable","praiseworthy"]}
merrail {"n":["sail"]}
merrow {"a":["soft","frail","tender"]}
merryman {"n":["jester"]}
merrymeeting {"n":["festival"]}
merse {"v":["exalt","glorify"]}
meted {"n":["the Maker","God"]}
mewel {"n":["maiden"]}
mid eld {"n":["medieval"],"a":["medieval"]}
midbody {"n":["torso"]}
middenstead {"n":["dunghill"]}
midred {"n":["diaphragm"]}
midwist {"n":["co-being","participation"]}
mielder {"n":["informer","announcer"]}
mighten {"v":["enable","empower"]}
mightened {"a":["enabled","empowered"]}
mighth {"n":["urine","pee","piss"]}
miles {"n":["Atriplex plant","orache"]}
militish {"a":["military"]}
milklithe {"a":["very soft","very gentle"]}
milksoppy {"a":["timid"]}
minchen {"n":["nun"]}
minday {"n":["day of remembrance"]}
minse {"v":["chop into bits","mince"]}
mir {"n":["myrrh","Commiphora myrrha plant"]}
misbeholden {"a":["disobliging"]}
misbid {"v":["mistreat"]}
misdoom {"n":["misjudgment"]}
misfall {"n":["mishap","misfortune"],"v":["suffer bad luck","turn out badly"]}
misfare {"n":["error","transgression","mishap","misfortune","ill fate"],"v":["error","transgress","go wrong","be unfortunate"]}
mislore {"n":["misinformation"]}
misnimming {"n":["mistake","error"]}
misqueath {"v":["slander"]}
missliness {"n":["variousness","diversity"]}
missly {"a":["ununiform"],"r":["ununiformly"]}
mistide {"v":["have bad luck","turn out badly"]}
miswend {"v":["go astray","subvert","deform"]}
miswrought {"a":["misworked"]}
mixen {"n":["dung heap","dunghill"]}
mone {"n":["evil","wickedness","wicked","false","base"],"a":["evil","wicked","false","base"]}
mong {"n":["mixture","mingling","intermixture"],"v":["traffic","barter"]}
monkhouse {"n":["monastery"]}
monkstow {"n":["monastery"]}
monthblood {"n":["menses"]}
moodsick {"a":["distressed","troubled"]}
moodthrake {"n":["courage"]}
moonling {"n":["lunatic"]}
moonsick {"a":["crazy"]}
moorle {"n":["rope for mooring a ship"]}
mooting {"n":["discussion","debate"]}
morebeam {"n":["mulberry tree"]}
morecrop {"n":["pimpernel"]}
Morningland {"n":["the East"]}
morth {"n":["murder","slaughter"]}
mousehare {"n":["pika"]}
mousehart {"n":["chevrotain"]}
mowing {"a":["capable","able"]}
muchel {"v":["magnify"]}
mudflow {"n":["mudstream"]}
munworthy {"v":["memorable"]}
mut {"v":["be compelled","must","may"]}
naft {"n":["poverty","indigence"]}
nafty {"a":["poor","unwealthy"]}
nailkin {"n":["carnation"]}
narrows {"n":["narrow part of a strait","river"]}
naught but {"r":["just","merely"]}
naughth {"a":["zeroth"]}
ne {"r":["not","nay","nor"],"p":["not","nay","nor"],"i":["nay","nor"]}
neatherd {"n":["cattle"]}
neatland {"n":["rented land","feudally owned land"]}
needmay {"n":["kinsman","kinswoman","cousin"]}
neednot {"n":["unnecessary thing"]}
neethe {"v":["risk","venture"]}
neeve {"n":["nephew","grandson"]}
neighwist {"n":["neighborhood","society","fellowship"]}
nemmenenly {"a":["nominative"]}
neshen {"v":["soften","mollify"]}
neshness {"n":["feebleness","weakness"]}
Netherlandish {"n":["Dutch"],"p":["Dutch"],"i":["Dutch"],"a":["Dutch"]}
netherstock {"n":["stocking"]}
netherwear {"n":["underwear","undergarments"]}
neveling {"r":["face-down"]}
neverending {"n":["endless"]}
newlings {"r":["recently","lately"]}
nightganger {"n":["night monster","hyena"]}
nimmer {"n":["thief"]}
nimth {"p":["except"],"i":["except"]}
ninesome {"n":["nonet","nonad"]}
nite {"v":["clash"]}
niths {"n":["men","humans"]}
noll {"n":["head","nape"]}
nooth {"n":["boldness","daringness"]}
Nornish {"n":["Norwegian"],"p":["Norwegian"],"i":["Norwegian"],"a":["Norwegian"]}
Northmannish {"n":["Norse"],"p":["Norse"],"i":["Norse"],"a":["Norse"]}
Northumber {"n":["Northumbria","Northumbrians"],"p":["Northumbria"],"i":["Northumbria"]}
Northumbrish {"n":["Northumbrian"],"p":[],"i":[],"a":["Northumbrian"]}
Norwales {"n":["Welshmen"],"p":["Welshmen"],"i":["Welshmen"]}
Norwelsh {"n":["Welsh"],"p":["Welsh"],"i":["Welsh"],"a":["Welsh"]}
nosefire {"n":["rhinitis","coryza"]}
nosegristle {"n":["nose cartilage"]}
nostle {"n":["headband","fillet"]}
notely {"a":["beneficial","useful"]}
nott {"a":["hornless","antlerless"]}
nottle {"n":["beneficial"]}
nough {"a":["low","lowly","humble","poor"]}
nouth {"r":["now","presently","soon"]}
nunhouse {"n":["nunnery"]}
nye {"v":["curtsey"]}
oal {"n":["fire","flame"]}
oathom {"n":["son-in-law","brother-in-law"]}
ofold {"a":["simple","plain","single"]}
ofoldly {"r":["plainly"]}
oftseen {"a":["unrare","common","usual"]}
old world ape {"n":["ape"]}
onalike {"n":["resemblance","similarity"],"a":["similar"],"r":["similarly"]}
onalikeness {"n":["pattern"]}
onboard {"a":["in agreement","willing"]}
onday {"n":["appointed day"],"v":["appoint"]}
oneberry {"n":["plant","paris"]}
onefoldly {"r":["simply","plainly"]}
